Date,Open,High,Low,Close,Adj Close,Volume
2019-11-27,36.413662,36.726757,36.366222,36.650852,35.212433,19201000
2019-11-29,36.565464,36.888046,36.537003,36.546490,35.112164,9793900
2019-12-02,36.802658,36.812145,36.290321,36.328274,34.902515,15646000
2019-12-03,36.015179,36.242886,35.901329,36.100571,34.683743,20869800
2019-12-04,36.271347,36.299809,35.948765,36.185959,34.765781,14501200
2019-12-05,36.404175,36.404175,35.853889,36.081593,34.665508,13098100
2019-12-06,36.318787,36.546490,36.261860,36.328274,34.902515,12868700
2019-12-09,36.148006,36.413662,36.148006,36.356735,34.929855,15641600
2019-12-10,36.309299,36.603416,36.233398,36.508537,35.075703,19171300
2019-12-11,36.404175,36.593929,36.242886,36.261860,34.838703,15569400
2019-12-12,36.214420,36.641365,36.214420,36.565464,35.130390,13414500
2019-12-13,36.546490,36.698292,36.119545,36.366222,34.938969,16678500
2019-12-16,36.717266,37.381405,36.679317,37.134724,35.677311,24187800
2019-12-17,37.419353,37.419353,36.850094,36.907021,35.458542,29038000
2019-12-18,37.011387,37.077801,36.660343,36.897533,35.449429,27339400
2019-12-19,37.001896,37.144211,36.821632,36.973434,35.522350,22022300
2019-12-20,37.333965,37.514233,36.973434,37.220116,35.759350,58199800
2019-12-23,37.400379,37.495255,37.125237,37.305504,35.841389,17454300
2019-12-24,37.314991,37.419353,37.191650,37.277039,35.814041,5187700
2019-12-26,37.286526,37.542694,37.191650,37.362431,35.896080,9384100
2019-12-27,37.409866,37.590134,37.239090,37.305504,35.841389,10117700
2019-12-30,37.286526,37.400379,36.897533,36.916508,35.467655,11554300
2019-12-31,36.802658,37.191650,36.726757,37.172676,35.713772,15175700
2020-01-02,37.286526,37.333965,36.888046,37.134724,35.677311,16514100
2020-01-03,36.736244,37.229603,36.688805,36.935482,35.485886,14922800
2020-01-06,36.831120,37.001896,36.717266,36.888046,35.440315,15772000
2020-01-07,37.115749,37.125237,36.698292,36.764706,35.321815,20108100
